"Company Name",Address,Website,"Contact Nos.",State
"NRK Digital Media + Media Production, Web & Graphic Design Studio","8e2 Floor Celadon Tower 1, 8th, Santa Cruz, Manila, 1014 Metro Manila, Philippines",,,manila
"Style Media Inc.","Bank of the Philippine Islands Bldg, 6768 Ayala Ave, Makati, 1226 Metro Manila, Philippines",,,manila
"Rich Media Manila Incorporated","Penthouse B, PDCP Bank Center Building Rufino Street corner Leviste Street, Salcedo, Salcedo Village, Makati, 1227 Metro Manila, Philippines",,,manila
"Media Blitz PR Consultancy","Mezz Flr Natl Press Club Magallanes Drive, Bgy 656, Zone 069 Intramuros Manila, Philippines",,,manila
"Center for Media Freedom and Responsibility","No. 130, 2nd Floor Ateneo Professional Schools Building, H.V. Dela Costa Street, Salcedo Village, Makati, 1200 Metro Manila, Philippines",,,manila
"7th Media Digital Studios Inc.","Suites 1407 to 1408, Herrera Tower, 98 Rufino corner Valero Streets, Makati, 1227 Metro Manila, Philippines",,,manila
"Club Media Asia, Inc.","14th Floor, 88 Corporate Center 141 Sedeño cor. Valero Sts., Salcedo Village, Makati, 1227 Metro Manila, Philippines",,,manila
"Flash Media Corporation","26, R. Vicencio Street, Mandaluyong City, Philippines",,,manila
"CBCP Media Office","3/F CBCP Building, 470 Gen. Luna St., Intramuros, 1002 Metro Manila, Philippines",,,manila
"Media Resource Plaza","Mola, Makati City, Manila, 1204 Metro Manila, Philippines",,,manila
"Classico Digital Media - SEO Expert Services Philippines - Social Media Management","500, Boni Ave, Mandaluyong, 1550, Philippines",,,manila
"DOH Media Relations Unit (MRU)","San Lazaro Compound, Sta. Cruz, Manila, Metro Manila, Philippines",,,manila
"Havas Media Ortega","Penthouse Executive Bldg, Sen. Gil J. Puyat Ave, Makati, Metro Manila, Philippines",,,manila
"SDI Media","9th Floor Finman Centre Building 131 Tordesillas St. Village, Salcedo, Makati, 1227 Metro Manila, Philippines",,,manila
"Philippine Multi-Media System, Inc. / Dream VSAT","Unit 2405 Discovery Center ADB Avenue, Ortigas Makati City Metro Manila, Philippines",,,manila
"The Media Village Inc.","Amorsolo, Makati, Metro Manila, Philippines",,,manila
"Alter Media Solutions","118, V.A. Rufino Street, Legaspi Village, Makati City, 1227 Metro Manila, Philippines",,,manila
"Elev8 Media, Inc.","128 L.P Leviste, Makati, 1227 Metro Manila, Philippines",,,manila
"Interad Media Corporation","3rd Floor 111 Paseo de Roxas Building, Paseo de Roxas Avenue corner Legapsi Street Legaspi Village, Makati City, 1229 Metro Manila, Philippines",,,manila
"The Philippine Star, PhilStar Daily Inc","202 Roberto Oca St. corner Railroad St., Port Area, Manila, Manila, 1018 Metro Manila, Philippines",,,manila
