"Company Name",Address,Website,"Contact Nos.",State
"August 99 - Web Design Outsourcing Philippines","CyberOne Eastwood, Eastwood Avenue, Eastwood, Quezon City",http://august99.com/,"(02) 570 5476","metro manila"
"i-Build.PH Webhosting, Web Development, Web Design, SEO, Training and Consultancy","L. Quezon St. Parang, Manuel, Marikina",http://www.ibuild.ph/,"(02) 477 9188","metro manila"
"Starfish Web Design Philippines","#7612-D Guijo Street, San Antonio Village, Makati",http://starfi.sh/,"(02) 756 0827","metro manila"
"Marvill Web Development","Saint Paul Road, Makati",http://marvill.com/,"(02) 348 0171","metro manila"
"Web Design Philippines","Unit 309, PBS Building, 72, Kamias Road, East Kamias, Quezon City",http://www.webdesignerphilippines.com/,"(02) 404 7192","metro manila"
"GREENVALE CITY INC. - Web Development Outsourcing Manila Philippines","2138, Santa Cruz, Manila",,"(02) 622 1198","metro manila"
"Web Design Philippines","Marajo Tower, 312 26th Street, BGC, Taguig",http://www.teampicasso.com/,"0917 762 9068","metro manila"
"Web design Philippines","Sgt. Esguerra Avenue, Diliman, Quezon City",http://www.etnmultimedia.com/,"0915 868 6797","metro manila"
"Halcyon Web Design","11 San Antonio Street, Pasig",http://halcyonwebdesign.com.ph/,"(02) 358 7808","metro manila"
"Philscan (Philippine and Scandinavian IT Services Inc.)","Yupangco Bldg, Makati",http://www.philscan.com/,"(02) 478 6888","metro manila"
"Webbox.com.ph Web Design SEO","East Rodriguez Sr. Avenue, New Manila, Quezon City",http://www.webbox.com.ph/,"0999 856 9231","metro manila"
"Optimind SEO and Web Design Company","2nd floor, CTP Building, 5 Gil Fernando Ave., Marikina",http://www.myoptimind.com/,"(02) 387 9200","metro manila"
"FYDesigns, Inc.","351 Romari Building,, Quirino Highway, Quezon City",http://www.fydesigns.ph/,"(02) 961 2210","metro manila"
"7th Media Digital Studios Inc.","Bel-Air, Suites 1407 to 1408, Herrera Tower, 98 Rufino corner Valero Streets, Makati",http://www.7thmedia.com/,"(02) 728 1141","metro manila"
"Marketlink Web Solutions Inc - Web Design Philippines","A, 4f, One Joroma Place, 5/F Congressional Avenue, Quezon City",http://www.philippineswebdesigning.com/,"0998 977 0817","metro manila"
iManila,"Hanston Building, Emerald Avenue, Ortigas Center, Pasig",https://imanila.ph/,"(02) 490 0000","metro manila"
"Web Designer Philippines | Caleb Serna","K-7th, Quezon City",http://calebserna.com/,"0908 158 8211","metro manila"
"Mystech Dynamics Philippines - Web Design, SMO & SEO Services","2516 Cityland Herrera Tower, Valero Street corner Rufino Street, Salcedo Village, Makati",http://www.mystechdynamics.com/,"(02) 846 4522","metro manila"
"Citrus.ph - Online Innovations","Level 5 Gateway Tower, Gen Roxas cor. Gen Aguinaldo Ave, Gregorio Araneta Avenue, Araneta Center, Cubao, Quezon City",http://www.citrus.ph/,"(02) 790 4468","metro manila"
"Web Designer Makati","Ayala Avenue Corner Makati Avenue, Makati",http://www.philippines-web-design.com/,"0915 818 1577","metro manila"
"WebFocus Solutions, Inc.","One San Miguel Building, 1 San Miguel Avenue, San Antonio, Pasig",http://www.webfocus.ph/,"(02) 706 5796","metro manila"
"MAXWEB, Inc.","465 Malaya, Mandaluyong",http://www.maxwebinc.com/,"(02) 632 7698","metro manila"
"Innov8tive Design & Development","402, 820 J P Rizal St, Makati",http://www.innov8tivedd.com/,"(02) 261 1190","metro manila"
"Quazar Designs","7B Tolentino Street, San Francisco del Monte, Quezon City",http://www.quazardesigns.net/,"(02) 411 3674","metro manila"
"Web Dot Com Website Development Phils., Inc.","23 F. Dela Rosa Corner E. Arada Street, Quezon City",http://www.webdc.com.ph/,"(02) 634 4625","metro manila"
"Sonny Design","Bagong Tanyag Street, Taguig City, Metro Manila",http://www.sonnydesign.com/,"(02) 866 1619","metro manila"
"Website Express","Ricogen Building, 112 Aguirre, Makati",http://websiteexpress.ph/,"(02) 623 0996","metro manila"
"Xibre Digital","f, 809, Cityland 10 Tower 2, 156 H.V. Dela Costa, Makati",http://www.xibre.com/,"(02) 542 1480","metro manila"
"RMDC Digital Marketing","1660, East Rodriguez Sr. Avenue, Quezon City",https://wearermdc.com/,"(02) 413 8582","metro manila"
"The Design People","21st Floor, Pacific Center Bldg. 33 San Miguel Ave. Ortigas Center 1600",http://designprosolutions.com/,,"metro manila"
"Artzap Studio - Web Design Manila Philippines","Unit 6N, Madrigal Business Park, Investment Drive, Ayala Alabang, Muntinlupa",http://www.artzapstudio.com/,"(02) 886 7969","metro manila"
"Online Thinkers Technology","Chateau Valenzuela, P. Gregorio St., Brgy., Lingunan, Valenzuela",http://www.onlinethinkers.com/,"(02) 352 4583","metro manila"
"RSY Global Web Development","Towerhill, Taytay Rizal along Ortigas Extension 1920",http://www.rsyglobal.com/,,"metro manila"
"Alta Philippines IT Solutions and Web Page Design","Burgundy Corporate Tower, 252 Sen. Gil J. Puyat Avenue, Unit 16 IJ3, 16th Floor Burgundy Tower, Makati",http://alta.com.ph/,"(02) 823 8044","metro manila"
"eGlobalMD Web Services and Solutions","Mindanao Nova Realty Building, Mindanao Avenue, Novaliches, Quezon City",http://www.eglobalmd.com/,"(02) 219 8521","metro manila"
"I-MAP WEBSOLUTIONS, INC","Epifanio de los Santos Avenue, Makati",http://www.imapwebsolutions.com/,"(02) 854 5337","metro manila"
"Ninja Consulting PH Incorporated","820 City and Land Megaplaza ADB Avenue cor, San Antonio, Pasig",http://ninjaconsulting.com.ph/,"(02) 625 2409","metro manila"
"monk3ybidzness | web services","Tawiran Extension Street, 6th, Santolan, Pasig",http://www.monk3ybidzness.com/,"0947 765 5665","metro manila"
"TechCellar Business Solutions","393 Sen. Gil J. Puyat Avenue, Makati",http://www.techcellar.com/,,"metro manila"
WAZILE,"Legazpi Street, Makati",http://www.wazile.com/,"(02) 340 7741","metro manila"
"Philippines Web Designing","Mindanao Avenue, corner Quirino Highway, Quezon City",,"(02) 935 8285","metro manila"
"Netineers Web Design","King Center Building, Sgt. Rivera Street, Quezon City",http://www.netineers.com/,"(02) 218 8359","metro manila"
"Web Design Philippines - OSP","52 Main Horseshoe Drive, Horseshoe Village, Quezon City",http://www.outsource-seo-philippines.com/web-design/,"0917 773 7844","metro manila"
"Philippine Web Accessibility Group","MCCID Building, 807 Aurora Boulevard, Immaculate Concepcion, Quezon City",http://www.pwag.org/,"(02) 920 1503","metro manila"
"Jutsu Graphic Design Company","V.A. Rufino Corner Valero Street, Makati",http://designjutsu.com/,"0922 841 4407","metro manila"
"cr8v web solutions, inc.","San Rafael Street, Mandaluyong",http://www.cr8vwebsolutions.com/,"(02) 477 4418","metro manila"
Designlabworks.com,"5 Filipinas Avenue, Parañaque",http://www.designlabworks.com/,,"metro manila"
"Sytian Productions","125 Sikatuna Bliss 1, Bldg. 1",https://www.sytian-productions.com/,"0927 872 1796","metro manila"
"Freelance WordPress Designer Jasper Espejo","Ipil Street, Greenwoods Executive Village, Cainta",http://jasperespejo.com/,"0917 413 7968","metro manila"
Webtogo,"Unit 2009, Prestige Tower, F.Ortigas Jr. Road, Ortigas Center 1605",http://www.webtogo.com.ph/,"0917 810 0960","metro manila"
"Freelance Website / WordPress Design","Maysilo Circle, Mandaluyong",http://jasperespejo.com/,"0917 413 7968","metro manila"
"Web Dot Com Website Development Phils., Inc","2nd Floor, BT and T Building, 20 Eulogio Rodriguez Jr. Avenue, Libis, Quezon City",http://webdc.com.ph/,"(02) 634 4625","metro manila"
Etnmultimedia,"Diliman, Quezon City",http://www.etnmultimedia.com/,"0915 868 6797","metro manila"
"Philippines Web Designing","Mindanao Avenue, corner Quirino Highway, Quezon City",,"(02) 935 8285",Makati
"Netineers Web Design","King Center Building, Sgt. Rivera Street, Quezon City",http://www.netineers.com/,"(02) 218 8359",Makati
